DrawNumber,Ball1,Ball2,Ball3,Ball4,Ball5,MegaBall
1,15,18,25,33,47,30
2,4,28,39,41,44,9
3,2,4,32,44,52,36
4,6,21,22,29,32,24
5,12,28,45,46,52,47
6,3,25,29,30,48,48
7,14,22,27,28,42,13
8,5,6,9,33,44,52
9,4,8,32,37,43,2
10,6,13,18,27,45,18
11,13,18,32,39,49,6
12,4,18,21,27,41,50
13,18,31,49,50,51,4
14,14,22,32,35,44,6
15,11,20,26,29,41,41
16,26,29,31,44,48,40
17,13,19,23,38,47,15
18,10,24,35,49,52,47
19,7,15,24,37,46,9
20,10,12,29,32,38,7
21,20,27,28,37,49,32
22,2,6,22,27,44,1
23,10,16,23,28,31,7
24,2,6,38,40,50,14
25,7,17,23,43,44,26
26,3,10,15,18,25,52
27,22,31,33,44,52,43
28,2,13,20,23,43,6
29,5,19,20,45,48,44
30,2,5,11,18,45,22
31,6,31,32,42,51,42
32,8,23,36,49,51,10
33,31,39,42,49,51,35
34,4,6,10,21,25,21
35,24,32,37,40,51,12
36,7,10,19,26,44,5
37,1,2,4,5,46,8
38,8,32,34,42,50,21
39,23,27,30,33,36,5
40,7,21,30,32,37,15
41,10,42,43,45,51,1
42,18,34,43,47,50,25
43,9,11,17,26,41,29
44,6,20,27,34,51,22
45,10,31,40,48,51,38
46,16,20,26,36,48,32
47,8,15,34,39,47,4
48,9,10,14,41,49,35
49,5,10,22,23,43,37
50,2,7,16,28,36,47
51,17,19,37,47,48,14
52,3,28,45,48,50,24
53,6,17,44,49,51,39
54,7,16,20,40,52,8
55,11,16,19,22,46,5
56,3,21,27,31,43,34
57,8,25,33,42,49,40
58,1,15,19,40,51,26
59,4,8,30,36,52,48
60,3,5,9,16,31,28
61,2,13,14,24,46,34
62,3,7,21,29,49,46
63,10,14,41,46,49,52
64,8,24,39,43,52,43
65,11,14,26,30,39,3
66,8,21,29,42,51,34
67,6,14,28,37,46,3
68,15,16,28,34,51,33
69,7,17,18,34,50,18
70,30,39,41,47,52,27
71,25,26,38,42,46,27
72,4,41,48,50,51,23
73,16,31,37,40,41,5
74,13,24,26,32,47,34
75,1,8,9,19,22,21
76,5,12,16,22,24,48
77,3,9,20,26,27,50
78,18,20,23,48,49,10
79,11,13,19,32,47,21
80,12,22,29,42,50,11
81,21,28,29,40,51,20
82,2,4,6,37,47,38
83,11,16,26,48,49,13
84,2,26,36,37,41,22
85,7,10,32,36,41,33
86,10,15,26,28,39,10
87,3,6,14,31,33,8
88,13,14,16,29,49,29
89,6,17,18,40,50,8
90,15,21,37,40,42,7
91,8,12,21,27,29,15
92,7,12,26,45,47,36
93,6,22,28,31,40,18
94,8,10,24,38,45,6
95,15,26,27,38,39,46
96,16,29,31,39,52,21
97,5,15,24,50,52,3
98,3,9,15,28,52,7
99,1,12,32,48,51,29
100,6,8,9,33,35,32
101,2,5,19,32,34,52
102,5,14,32,44,52,24
103,1,10,20,22,28,39
104,17,20,47,49,50,34
105,5,10,16,26,39,52
106,2,16,36,44,49,3
107,12,20,31,33,50,17
108,10,11,17,20,26,3
109,1,21,28,33,51,3
110,4,20,25,29,32,20
111,10,14,28,39,40,35
112,14,15,23,32,52,37
113,12,15,16,20,51,33
114,27,31,34,40,52,1
115,1,2,3,12,37,35
116,2,26,43,44,47,31
117,1,14,20,31,40,43
118,28,32,39,45,48,31
119,6,7,22,37,46,8
120,2,9,27,29,35,18
121,1,4,10,16,18,10
122,1,26,33,43,48,22
123,29,30,34,38,44,39
124,1,5,31,38,47,3
125,33,46,47,50,51,30
126,1,17,19,32,42,33
127,2,11,27,30,33,46
128,7,32,34,38,44,49
129,6,9,35,40,43,42
130,8,11,18,35,51,26
131,1,16,20,41,52,13
132,7,11,24,28,52,16
133,4,19,31,32,51,31
134,9,28,42,44,49,47
135,8,11,17,42,52,10
136,22,26,27,32,39,14
137,7,9,28,41,42,19
138,14,15,30,39,46,30
139,16,22,23,38,46,45
140,15,20,24,30,46,42
141,13,14,24,34,47,13
142,5,16,24,49,51,28
143,5,29,32,45,52,29
144,2,26,37,40,46,49
145,19,21,30,31,52,51
146,1,2,22,40,41,43
147,4,19,36,42,48,13
148,18,19,21,33,40,29
149,14,20,31,46,48,18
150,18,34,46,51,52,38
151,8,9,16,30,31,15
152,6,9,20,40,47,26
153,6,12,13,36,46,3
154,16,24,43,44,45,22
155,6,18,23,26,30,31
156,2,5,17,21,22,43
157,3,13,31,41,42,52
158,4,11,25,30,52,36
159,14,26,28,36,42,14
160,22,32,37,40,41,52
161,19,26,31,44,50,19
162,10,13,24,34,49,4
163,1,12,15,18,44,42
164,4,14,15,24,48,41
165,9,16,32,45,46,26
166,16,24,31,46,47,47
167,5,10,17,35,39,38
168,2,13,21,22,49,52
169,1,10,17,20,29,36
170,12,18,21,32,46,49
171,7,8,36,44,48,9
172,7,13,15,25,32,9
173,24,32,38,47,49,12
174,3,17,18,21,45,21
175,12,26,41,44,49,44
176,5,7,14,21,45,36
177,10,18,33,46,51,13
178,6,10,20,38,50,27
179,17,28,30,40,51,44
180,9,21,26,35,41,17
181,1,6,16,30,49,13
182,3,7,10,22,32,23
183,14,30,42,43,45,30
184,2,8,34,36,52,21
185,1,13,20,21,30,24
186,6,11,43,49,52,21
187,2,9,24,36,52,44
188,25,30,35,40,50,4
189,30,40,47,49,52,3
190,16,23,29,36,51,49
191,4,29,32,35,36,11
192,3,28,45,49,51,52
193,6,9,14,32,50,4
194,12,22,35,39,46,32
195,8,10,17,37,49,20
196,3,27,31,41,45,33
197,8,17,25,46,47,13
198,8,17,29,32,39,49
199,2,8,10,11,23,40
200,13,36,39,50,51,34
201,6,24,29,42,51,41
202,12,22,37,46,48,49
203,8,22,25,47,48,27
204,1,10,17,23,35,45
205,15,21,32,39,50,34
206,3,15,29,37,39,40
207,14,17,19,44,50,17
208,9,25,30,34,37,30
209,10,19,32,36,46,6
210,2,36,44,46,51,45
211,4,20,27,38,49,31
212,5,18,34,36,39,43
213,13,27,36,39,51,33
214,7,16,17,26,48,15
215,4,16,18,41,47,46
216,17,24,29,37,45,43
217,12,28,36,39,52,36
218,18,23,27,29,44,24
219,7,10,11,15,51,23
220,9,10,17,41,52,19
221,18,19,29,32,42,32
222,10,13,19,28,38,1
223,10,25,38,39,50,12
224,6,7,8,31,48,19
225,11,23,25,29,45,16
226,13,31,37,39,52,38
227,3,21,22,35,44,7
228,6,15,21,32,44,13
229,5,12,25,35,37,12
230,8,10,11,13,24,46
231,16,19,21,34,35,22
232,1,2,13,16,22,31
233,4,23,33,38,49,7
234,18,25,29,31,44,33
235,14,31,41,45,48,20
236,22,23,26,28,36,10
237,12,17,34,37,39,34
238,2,5,21,47,50,46
239,5,25,38,46,47,14
240,14,15,25,42,44,3
241,4,14,34,38,44,10
242,13,30,36,38,51,35
243,11,17,27,45,52,5
244,12,35,37,38,50,49
245,3,16,25,38,49,4
246,1,3,15,19,29,39
247,11,26,30,49,50,52
248,1,18,39,42,50,35
249,8,10,17,24,39,52
250,8,34,39,48,49,47
251,16,17,21,33,41,6
252,4,18,19,39,51,13
253,4,8,24,30,36,25
254,6,13,19,34,50,33
255,3,7,20,24,43,36
256,14,25,39,43,49,27
257,10,18,26,31,41,48
258,24,32,42,49,50,3
259,3,29,30,41,43,1
260,11,20,26,28,52,7
261,5,31,33,35,51,1
262,9,10,27,28,30,18
263,1,12,24,36,51,38
264,8,30,32,35,51,17
265,7,9,18,37,43,34
266,10,20,22,28,52,4
267,12,32,37,41,52,13
268,1,19,22,32,49,29
269,22,23,37,42,47,15
270,14,27,32,34,40,2
271,16,34,38,42,47,1
272,7,22,27,31,38,12
273,9,20,22,41,42,10
274,18,29,32,38,43,50
275,10,14,45,47,51,20
276,3,6,7,12,32,30
277,2,8,14,15,51,38
278,2,23,24,35,45,18
279,15,19,24,40,47,50
280,10,23,28,39,51,5
281,17,27,39,40,41,21
282,2,10,21,25,45,22
283,25,31,39,47,52,43
284,3,17,21,42,44,35
285,3,12,14,30,52,34
286,8,11,14,23,25,21
287,6,14,21,24,50,28
288,3,16,20,21,38,10
289,1,19,31,35,42,34
290,15,18,28,41,45,27
291,4,13,37,38,50,24
292,1,8,18,39,48,1
293,7,10,13,35,39,21
294,8,14,15,22,31,13
295,18,19,31,35,36,17
296,14,26,27,34,44,27
297,2,9,28,29,48,33
298,6,11,27,37,43,34
299,11,18,19,45,49,2
300,7,17,18,30,42,38
301,11,19,28,32,45,10
302,4,19,45,51,52,22
303,5,13,17,33,35,35
304,15,20,43,47,50,24
305,25,26,37,39,49,29
306,5,6,14,42,47,3
307,23,25,43,46,49,26
308,18,22,33,34,42,16
309,2,5,7,28,46,21
310,7,17,42,46,52,47
311,7,12,25,50,51,19
312,11,25,38,40,42,40
313,21,23,27,33,39,8
314,7,9,10,29,44,17
315,3,6,27,40,44,9
316,9,28,39,40,45,24
317,7,17,22,34,50,24
318,5,13,22,37,38,11
319,4,6,14,28,47,42
320,7,14,28,46,47,25
321,14,29,31,37,50,34
322,1,10,29,48,49,36
323,16,35,40,49,50,34
324,9,13,40,46,50,30
325,14,43,44,50,56,7
326,2,20,37,43,46,4
327,14,25,41,42,50,40
328,22,38,48,50,55,29
329,9,23,45,48,50,3
330,5,17,32,39,53,36
331,9,13,25,36,48,2
332,7,13,48,51,54,11
333,7,18,27,35,54,34
334,1,10,18,29,55,8
335,4,16,23,25,40,22
336,17,22,39,50,52,46
337,3,5,48,50,53,4
338,13,35,36,43,52,5
339,8,37,38,45,54,21
340,9,15,20,24,55,3
341,2,13,18,36,46,36
342,6,7,8,13,40,12
343,5,20,38,47,54,35
344,19,32,42,49,56,29
345,1,4,14,45,53,33
346,1,8,27,31,50,40
347,15,28,43,51,52,11
348,13,24,44,48,52,30
349,5,16,41,46,50,1
350,35,36,40,42,52,45
351,6,7,20,41,51,38
352,14,17,26,27,28,5
353,1,3,14,30,52,10
354,12,24,28,29,36,41
355,2,4,23,27,36,37
356,24,30,42,53,54,20
357,6,20,24,25,34,44
358,3,12,16,32,33,15
359,11,17,28,29,36,42
360,7,12,18,31,55,30
361,8,17,25,28,53,1
